site_id,lat,lon,AI,regime,sensitivity,n_obs,n_years
US-Fmf,35.1426,-111.7273,0.4111171364784241,Drylands,-0.137802791837346,173,6
US-Fuf,35.089,-111.762,0.3967776000499725,Drylands,0.0747605044894746,181,6
US-Fwf,35.4454,-111.7718,0.369987279176712,Drylands,-0.098738632150095,196,6
US-GLE,41.3665,-106.2399,0.8083173036575317,Humid regions,-0.027878444915271,264,15
US-HBK,43.9397,-71.7181,1.8260148763656616,Humid regions,0.0830168048697215,197,7
US-HWB,40.8608,-77.8488,1.256840705871582,Humid regions,0.0165894442589928,140,4
US-IAM,41.9994,-93.7042,0.9519598484039308,Humid regions,-0.0865890241098775,115,4
US-Jo1,32.582,-106.635,0.1386428773403167,Drylands,0.032501350774518,366,10
US-KFS,39.0561,-95.1907,0.8798136115074158,Humid regions,0.105009644007733,423,11
US-Kon,39.0824,-96.5603,0.7605029940605164,Humid regions,-0.0384256430207359,409,10
US-MN1,45.6168,-96.1269,0.787432074546814,Humid regions,-0.0479368575865312,188,6
US-MN2,45.627,-96.1271,0.787432074546814,Humid regions,0.1927145683873286,191,6
US-MN3,45.6091,-96.1265,0.787432074546814,Humid regions,-0.1064851161131771,78,3
US-MOz,38.7441,-92.2,0.997268795967102,Humid regions,-0.1410173646932919,701,18
US-Me6,44.3233,-121.6078,0.9685056209564208,Humid regions,-0.0171131124839332,467,12
US-Mo1,39.2298,-92.1167,1.0262730121612549,Humid regions,0.0468688460352862,313,8
US-Mo2,38.9488,-91.9945,1.020983338356018,Humid regions,-0.0587135854322854,209,5
US-Mo3,39.2322,-92.1493,1.0262730121612549,Humid regions,0.0601240124227268,286,7
US-MtB,32.416,-110.7256,0.3469210267066955,Drylands,0.4563212813523556,405,12
US-NC1,35.8118,-76.7119,1.0816943645477295,Humid regions,-0.1800541366044464,350,8
US-NC2,35.803,-76.6685,1.0804812908172607,Humid regions,-0.5942261259913075,764,18
US-NC3,35.799,-76.656,1.0968165397644043,Humid regions,0.3173158023673225,293,7
US-NGC,64.8618,-163.7002,1.4268006086349487,Humid regions,0.3352387386548189,99,6
US-ONA,27.3836,-81.9509,1.003775119781494,Humid regions,-0.0934309319722206,295,7
US-Oho,41.5545,-83.8438,1.038422465324402,Humid regions,0.0928794840773063,420,10
US-Prr,65.1237,-147.4876,0.8246539831161499,Humid regions,0.3524429431543219,253,12
US-Rls,43.1439,-116.7356,0.3576995134353637,Drylands,0.3894792125874264,335,9
US-Rms,43.0645,-116.7486,0.4161242544651031,Drylands,0.4989919709205275,270,9
US-Ro4,44.6781,-93.0723,0.9950621724128724,Humid regions,0.0947320373333022,232,7
US-Ro5,44.691,-93.0576,0.9950621724128724,Humid regions,0.0166164301422689,194,6
US-Ro6,44.6946,-93.0578,0.9950621724128724,Humid regions,0.0790644361501078,183,6
US-Rpf,65.1198,-147.429,0.8246539831161499,Humid regions,0.1609284164513436,187,10
US-Rws,43.1675,-116.7132,0.3576995134353637,Drylands,0.1752971475480575,321,8
US-SHC,39.4315,-120.2398,0.7546544075012207,Humid regions,-0.0223471264851242,90,4
US-SP1,29.7381,-82.2188,1.0326071977615356,Humid regions,-0.137619692779454,284,7
US-SRG,31.7894,-110.8277,0.2684826552867889,Drylands,-0.0608624219050828,660,15
US-SRM,31.8214,-110.8661,0.2186699956655502,Drylands,-0.5862751186623057,818,19
US-SSH,40.6658,-77.9041,1.1868051290512085,Humid regions,0.0742298974965545,149,4
US-Slt,39.9138,-74.596,1.2360515594482422,Humid regions,-0.0815942457496217,177,5
US-Ton,38.4309,-120.966,0.4102545380592346,Drylands,-0.1826781730196431,410,9
US-UC1,40.7536,-78.0056,1.2415353059768677,Humid regions,0.1436474581905479,144,4
US-UC2,40.7559,-77.9998,1.249807834625244,Humid regions,-0.2204103349105139,128,4
US-UMd,45.5625,-84.6975,1.168320655822754,Humid regions,-0.3830584148407992,137,10
US-UiE,40.0629,-88.2033,1.1062228679656982,Humid regions,0.327502719255086,179,5
US-Var,38.4133,-120.9508,0.4102545380592346,Drylands,-0.3197104832400925,719,18
US-Wkg,31.7365,-109.9419,0.2205244451761245,Drylands,-0.3144016773073391,806,19
US-xAB,45.7624,-122.3303,2.636793375015259,Humid regions,0.1587443259233132,161,4
US-xAE,35.4106,-99.0588,0.422960102558136,Drylands,0.0179843273761729,182,4
