panel,pathway,bin_index,log10_ai_center,ai_center,n_pixels,q25,median,q75
d,SM,4,-1.144446933488287,0.0717055987412634,26417,-0.1666627526283264,-0.1007997319102287,-0.0218253210186958
d,SM,5,-1.0603509753122755,0.0870260004615889,34201,-0.1604627668857574,-0.0676307082176208,-0.0078114178031682
d,SM,6,-0.9762550171362644,0.1056197129553043,45851,-0.1385711804032325,-0.0355441607534885,0.0003454669204074
d,SM,7,-0.8921590589602533,0.1281861019188702,59658,-0.1328975521028041,-0.0297687938436865,0.0029715502751059
d,SM,8,-0.808063100784242,0.1555739574117992,73160,-0.1210590116679668,-0.0293167969211936,0.0048016713699325
d,SM,9,-0.7239671426082308,0.1888134194148965,88042,-0.1082083210349083,-0.0238646063953638,0.0093544663395732
d,SM,10,-0.6398711844322196,0.229154724506878,91377,-0.1065328195691108,-0.0368111915886402,0.0052978959865868
d,SM,11,-0.5557752262562083,0.2781152310389237,89362,-0.1066912002861499,-0.0473959855735302,0.0005018865776946
d,SM,12,-0.471679268080197,0.3375364915660397,81595,-0.1038315072655677,-0.0464025363326072,0.0001885695019154
d,SM,13,-0.3875833099041857,0.4096535192017796,76037,-0.1132432594895362,-0.0451500602066516,-0.0006562271737493
d,SM,14,-0.3034873517281745,0.4971788532131772,74124,-0.1077726297080516,-0.0425375644117593,-0.00017494371059
d,SM,15,-0.2193913935521633,0.6034045858168624,65746,-0.0870556309819221,-0.0276843151077628,0.0029866194236092
d,SM,16,-0.135295435376152,0.7323261877123806,53881,-0.0657004117965698,-0.0066942465491592,0.0064109615050256
d,SM,17,-0.0511994772001408,0.8887927898050816,51401,-0.0295378621667623,0.0011880438541993,0.0104303378611803
d,SM,18,0.0328964809758703,1.0786895736681643,42508,-0.0221119448542594,0.0027604129863902,0.011509224306792
d,SM,19,0.1169924391518816,1.309159131000135,35741,-0.0063028982840478,0.004100548569113,0.0118251871317625
d,SM,20,0.2010883973278928,1.588870118075575,32798,0.0004528888966888,0.006367576541379,0.0133978954982012
d,SM,21,0.2851843555039041,1.9283433100946936,21391,0.000329619506374,0.0059319254942238,0.0128902699798345
d,SM,22,0.3692803136799153,2.3403473193207143,12414,0.0005032927874708,0.005404807627201,0.0124879542272537
d,SM,23,0.4533762718559266,2.8403788611596807,6685,0.0009996860753744,0.0053698644042015,0.0125830750912427
d,SM,24,0.5374722300319379,3.447245632440756,3585,0.0010430192342028,0.0064139822497963,0.0156115321442484
d,SM,25,0.6215681882079491,4.183773725709965,2194,6.9842035372857936e-06,0.0055214951280504,0.0132546061649918
d,SM,26,0.7056641463839604,5.077666187525982,1547,-0.0007785437919665,0.003781700739637,0.0117446118965744
d,SM,27,0.7897601045599716,6.16254501372907,1166,-0.0015531932003796,0.0024801061954349,0.0091180326417088
d,SM,28,0.8738560627359828,7.479215774273011,745,-0.0033544891048222,0.0004205805889796,0.004867339041084
d,SM,29,0.9579520209119942,9.077202433980233,491,-0.007286675972864,-0.0001426023372914,0.0024279316421598
f,Ta,0,-1.480830766192332,0.0330498302953957,1696,0.0836738292127847,0.1609164476394653,0.2691659107804298
f,Ta,1,-1.3967348080163209,0.0401111572461833,3091,0.0714389495551586,0.1691704094409942,0.2649575173854828
f,Ta,2,-1.3126388498403094,0.0486811859924191,8256,0.0745893660932779,0.1515579000115394,0.2124753221869468
f,Ta,3,-1.2285428916642984,0.0590822612043684,15579,0.0928643904626369,0.1742066740989685,0.2477646544575691
f,Ta,4,-1.144446933488287,0.0717055987412634,26417,0.04904480651021,0.1648339182138443,0.2684032618999481
f,Ta,5,-1.0603509753122755,0.0870260004615889,34201,0.0251100808382034,0.1044192463159561,0.231247529387474
f,Ta,6,-0.9762550171362644,0.1056197129553043,45851,0.0117477499879896,0.0603588856756687,0.1577092260122299
f,Ta,7,-0.8921590589602533,0.1281861019188702,59658,0.0053447332466021,0.0519538354128599,0.1262297518551349
f,Ta,8,-0.808063100784242,0.1555739574117992,73160,-0.0089619208592921,0.0352098029106855,0.1047317273914814
